Judul,Perusahaan,Lokasi,Jurusan
Production Assistant,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Penyiaran, Film Dan Televisi"
IT Support,PT. Enigma Cipta Humanika,"Gran Rubina Business Park - Generali Tower Lt. 20 Jl. HR Rasuna Said Jakarta 12940, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Sistem Informasi, Teknik informatika, Teknik Informatika, Pendidikan Teknik Informatika dan Komputer, Administrasi Jaringan Komputer"
Business Executive,PT. Datascrip,"JL. SELAPARANG BLOK. B-15 KAV.9, KOMP. KEMAYORAN, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen Pemasaran/Marketing, Ilmu Komunikasi, Ilmu Ekonomi, Administrasi BIsnis, Manajemen"
Analis Hukum dan Hak Asasi Manusia,Sekretariat Jenderal Komnas HAM (Biro Dukungan Penegakan HAM),"Jl. Latuharhary No. 4B Menteng, Jakarta Pusat 10310, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Hukum, Hukum Tata Negara, Hukum Bisnis, Hukum Adat, Hukum"
Asisten Pengendali Konten Internet (Biro Pemberitaan Parlemen),Dewan Perwakilan Rakyat Republik Indonesia (DPR RI),"Jl. Jenderal Gatot Subroto, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Desain Grafis"
Internship auditor staff,Kantor Akuntan Publik Mirawati Sensi Idris,"Eightyeight@Kasablanka Office Tower unit 20A, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Akuntansi Keuangan, Akuntansi Perpajakan, Komputerisasi Akuntansi"
Sulfuric Acid Plants,Kolaka Nickel Indonesia,"Sopo Del Office Tower A Lantai 19, Jalan Mega Kuningan Barat III Lot 10 1-6, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Kimia, Teknik Industri, Teknik Lingkungan"
Verifikator Registrasi Sertifikat Halal Luar Negeri,Badan Penyelenggara Jaminan Produk Halal (BPJPH),"Jl. Raya Pondok Gede No. 13, RT 001 RW 001, Kelurahan Pinang Ranti, Kec Makasar, Kota Jakarta Timur, DKI Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Kimia, Teknologi Hasil Pertanian, Teknik Pangan, Farmasi, Biologi"
Business Analyst Intern,Markplus Indonesia,"EightyEight@Kasablanka Lantai 8 Jalan Casablanca Raya Kav. 88, Menteng Dalam, Tebet, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen Pemasaran/Marketing, Administrasi Bisnis, Teknik Industri, Bisnis, Psikologi"
Sales Admin HR,Sany Heavy Industry Indonesia,"JL. ANGKASA NO. 1-3 GUNUNG SAHARI UTARA, SAWAH BESAR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Manajemen Pemasaran
Operations Intern - Jakarta,Bank Mandiri (Persero) Tbk,"Jl. Gatot Subroto Kav. 36 - 38, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Psikologi, Teknik Industri, Sistem Informasi, Manajemen Bisnis"
Asisten Analis Perancang Perundang-Undangan (Polhukam),Dewan Perwakilan Rakyat Republik Indonesia (DPR RI),"Jl. Jenderal Gatot Subroto, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Ilmu Hukum
IT Support,PT. Enigma Cipta Humanika,"Gran Rubina Business Park - Generali Tower Lt. 20 Jl. HR Rasuna Said Jakarta 12940, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Sistem Informasi, Teknik informatika, Teknik Informatika, Pendidikan Teknik Informatika dan Komputer, Administrasi Jaringan Komputer"
Verifikator Registrasi Sertifikat Halal Luar Negeri,Badan Penyelenggara Jaminan Produk Halal (BPJPH),"Jl. Raya Pondok Gede No. 13, RT 001 RW 001, Kelurahan Pinang Ranti, Kec Makasar, Kota Jakarta Timur, DKI Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Kimia, Teknologi Hasil Pertanian, Teknik Pangan, Farmasi, Biologi"
Sales Admin HR,Sany Heavy Industry Indonesia,"JL. ANGKASA NO. 1-3 GUNUNG SAHARI UTARA, SAWAH BESAR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Manajemen Pemasaran
Social Media,Surya Citra Televisi,"Gedung SCTV Tower Senayan City Jalan Asia Afrika Lot 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Hubungan Masyarakat dan Komunikasi Digital, Ilmu Komunikasi, Komunikasi Digital dan Media, Manajemen Komunikasi"
Sulfuric Acid Plants,Kolaka Nickel Indonesia,"Sopo Del Office Tower A Lantai 19, Jalan Mega Kuningan Barat III Lot 10 1-6, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Kimia, Teknik Industri, Teknik Lingkungan"
Operations Intern - Jakarta,Bank Mandiri (Persero) Tbk,"Jl. Gatot Subroto Kav. 36 - 38, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Psikologi, Teknik Industri, Sistem Informasi, Manajemen Bisnis"
Business Analyst Intern,Markplus Indonesia,"EightyEight@Kasablanka Lantai 8 Jalan Casablanca Raya Kav. 88, Menteng Dalam, Tebet, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen Pemasaran/Marketing, Administrasi Bisnis, Teknik Industri, Bisnis, Psikologi"
Asisten Asesor Sumber Daya Manusia,Badan Kepegawaian Negara,"Jl. Mayor Jendral Sutoyo No.12, Kel. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Psikologi
Asisten Kehumasan dan Protokoler,Badan Kepegawaian Negara,"Jl. Mayor Jendral Sutoyo No.12, Kel. Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Administrasi Publik, Hubungan Masyarakat, Ilmu Komunikasi"
Perawat,Rumah Sakit Pusat Otak Nasional Prof. Dr. dr. Mahar Mardjono Jakarta,"Jalan MT Haryono Kavling 11, Cawang Jakarta, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Keperawatan
Program Officer,Pijar Masa Depan,"Jalan Minyak Blok 1 Nomor 8A, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Hubungan Internasional, Keuangan, Komunikasi, Manajemen Administrasi, Manajemen Sumber Daya Manusia"
Data Analyst Intern,Traktor Nusantara,"JL. PULOGADUNG  RAYA NO.32 Kawasan Industri Pulogadung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Industri, Logistik, Teknik Mesin, Teknik Elektro, Manajemen"
Finance Accounting,Perishable Logistics Indonesia,"TAMAN PALEM LESTARI RUKO GALAXY BLOK O2, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Administrasi Keuangan, Ekonomi, Keuangan dan Perbankan, Manajemen Keuangan, Akuntansi, Akuntansi Manajemen"
Pustakawan,Pusat Bibliografi dan Pengolahan Bahan Perpustakaan,"Jl. Salemba Raya No. 28A, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Informasi dan Perpustakaan, Ilmu Perpustakaan dan Informasi Islam, Informasi, Perpustakaan & Kearsipan, Ilmu Perpustakaan, Perpustakaan dan Sains Informasi"
Digital Journalist,Trans Digital Media,"GEDUNG TRANS MEDIA LANTAI 8-9, JALAN KAPTEN PIERRE TENDEAN KAVLING 12-14A, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Jurnalistik, Bahasa dan Sastra Indonesia, Bahasa dan Sastra Inggris, Pendidikan Bahasa Indonesia, Ilmu Komunikasi"
Farmasi,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Farmasi
Akuntansi,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Akuntansi
HRD,Dana Purna Investama,"JL.Tanah Abang I No. 27 A Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Psikologi, Psikologi Kristen, Manajemen lnformatika, Manajemen Sumber Daya Manusia, Manajemen Perkantoran Digital"
Pengolah Data,Badan Standarisasi Nasional,"Jl. Kuningan Barat Raya No. 01A, Kuningan, Mampang Prapatan, Jakarta Selatan, DKI Jakarta 12710, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen Perkantoran, Statistik"
Digital Marketing,Mnc Televisi Network,"iNews Tower Lt. 7,MNC Center ComplexJl. Kebon Sirih No. 17 - 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Komunikasi Massa, Ilmu Komunikasi, Manajemen Komunikasi"
Digital Marketing,Mnc Televisi Network,"iNews Tower Lt. 7,MNC Center ComplexJl. Kebon Sirih No. 17 - 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Komunikasi Massa, Ilmu Komunikasi, Manajemen Komunikasi"
Reporter Intern,PT Jurnalindo Aksara Grafika,"Wisma Bisnis Indonesia Lt. 5-8, Jl. KH Mas Mansyur No.12A, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Jurnalistik, Ilmu Komunikasi, Hubungan Internasional, Penyiaran, Multimedia"
Cashier,Matahari Department Store,"Plaza Atrium, Jl. Senen Raya No.135 Blok A, RW.2, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi, Akuntansi, Administrasi Keuangan, Manajemen, Matematika"
Pranata Kearsipan,Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan,"Jl. Medan Merdeka Barat, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Jakarta, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi Negara, Administrasi Publik, Ilmu Administrasi Publik, Ilmu Administrasi Negara"
Akuntansi,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Akuntansi
Business Administration Support,Perusahaan Perseroan (Persero) PT. Asuransi Kredit Indonesia,"Graha Askrindo Jl. Angkasa Blok B-9 Kav. 8, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Akuntansi, Teknik Informatika, Sistem Informasi, Bahasa Inggris, Ekonomi"
Koordinator Fasilitator Pendamping,"PT Bank Btpn Syariah, Tbk Kc Jakarta-Menara Kadin","Menara Kadin Indonesia Lt. GF Jl. H. R. Rasuna Said No.2-3
Kecamatan Setiabudi
Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ekonomi Syari'ah, Manajemen, Perbankan Syari`ah, Kewirausahaaan, Sosiologi"
Human Resource Business Partner,Paragon Technology And Innovation,"JL CILEDUG RAYA NO 10, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Psikologi, Manajemen Sumber Daya Manusia, Manajemen, Administrasi Bisnis"
DIGITAL SUPPORT STAFF,PT Bank Negara Indonesia (Persero) Tbk,"Jl. Jatinegara Timur no. 88, kel. Balimester, kec. Jatinegara Jakarta Timur 13310, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Komunikasi, Desain Komunikasi Visual, Statistika, Administrasi, Teknik Informatika"
Desain Grafis,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Desain Grafis
Surveyor,Indonesian Cloud,"JL LETJEN MT HARYONO KAV 23, GD MENARA MTH LT 12, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Survei Dan Pemetaan, Administrasi Bisnis, Ekonomi Pembangunan, Manajemen"
Teknik Bangunan,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Teknik Sipil
Information & Technology,Paragon Technology And Innovation,"JL CILEDUG RAYA NO 10, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Sistem Informasi, Teknik Komputer, Teknik Komputer dan Jaringan, Ilmu Komputer"
FB Service Attendant,Metropolitan Realty International,"TAMAN IMPIAN JAYA ANCOL, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Hospitality dan Pariwisata, Perhotelan, Industri Pariwisata, Manajemen Perhotelan, Manajemen Perhotelan dan Pariwisata"
Translator Mandarin / Jubir Mandarin,Mutiara Indah Anugrah,"MEGA GLODOK KEMAYORAN BLOK C NOMOR 6, JALAN ANGKASA KAVELING B 6, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Pendidikan Bahasa Mandarin, Bahasa Mandarin, Bahasa Mandarin Untuk Komunikasi Bisnis Dan Profesional, Bahasa Mandarin untuk Komunikasi Bisnis dan Profesional"
Housekeeping (Room Attendant),Wisma Nusantara International (Pullman Jakarta Indonesia),"Jl. M.H. Thamrin No.59 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Bisnis Perhotelan, Manajemen Perhotelan, Manajemen Perhotelan dan Pariwisata, Pengelolaan Perhotelan, Perhotelan"
Stock Internship,Wisesa Semesta Jaya,"Magran Living, Jl. Kemang Raya No. 17, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Perkantoran, Logistik, Manajemen Logistik, Manajemen dan Administrasi Logistik"
NOC Engineer (Jakarta),PT Nexwave,"Jl. Tebet Raya NO.5, Tebet Barat, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Telekomunikasi, Teknik Informatika, Teknik Elektro"
Pelaksana Perawat,Kimia Farma Diagnostika,"JL. TALANG BETUTU NO.5, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Keperawatan
Asisten Pengelola Pertanian,Direktorat Pelindungan dan Optimasi Lahan,"Ditjen LIP
Jl. Harsono RM No. 3, Gedung E 
Ragunan, Pasar Minggu, Jaksel 12550, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Pertanian, Teknik Lingkungan, Teknik Pengairan, Teknik Geodesi, Pengelolaan Sumber Daya Lahan"
Direktorat Irigasi Pertanian,Direktorat Irigasi Pertanian,"Jl. Taman Margasatwa No. 3 Ragunan, Pasar Minggu, Jakarta 12550, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Pertanian, Teknik Lingkungan, Teknik Pengairan, Teknik Geodesi, Pengelolaan Sumber Daya Lahan"
Survey dan Desain,Yofc International Indonesia,"APL Tower Lt. 19 / T3, Jl. Jend. S. Parman Kav. 28, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Teknik Komputer Dan Jaringan, Teknik Listrik dan Instalasi, TeknikTelekomunikasi dan Navigasi Udara, Teknik informatika, Teknik Telekomunikasi"
"Legal , Bisnis, Manajement & Akuntansi",Bina Karya (Persero),"GEDUNG TAMANSARI HAVE OFFICE JL. D.I.PANJAITAN KAV.2,, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Administrasi Keuangan Dan Perbankan, Administrasi Pajak, Ilmu Hukum, Bisnis"
ORGANIZATIONAL DEVELOPMENT,Dana Purna Investama,"JL.Tanah Abang I No. 27 A Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen lnformatika, Manajemen Sumber Daya Manusia, Manajemen Informatika, Manajemen Informasi Komunikasi, Manajemen Administrasi"
Dokumen Kontrol,Yofc International Indonesia,"APL Tower Lt. 19 / T3, Jl. Jend. S. Parman Kav. 28, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Administrasi, Ekonomi, Hukum, Teknik Industri"
Tentor Pembelajaran,Sahabat Aku Nusantara,"Jalan Nurul Hidayah Kelapa Dua Wetan, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Pendidikan Guru Madrasah Ibtidaiyah (PGMI), Pendidikan  Bahasa Inggris, Manajemen Pendidikan Islam, Pendidikan Bahasa Indonesia, Pendidikan Guru Sekolah Dasar"
Data Analyst Internship,Federal International Finance,"Menara FIF Lantai 3-9, Jalan TB. Simatupang Kav. 15, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Statistika, Statistika dan Sains Data, Matematika, Sistem Informasi, Teknik Informatika"
Supervisor,Global Indo Kreatif,"JL. MANGGA NO. 3B, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Pendidikan matematika, Perbankan Syari'ah, Keamanan Sistem Informasi, Tadris IPS, Tadris Biologi"
Business Support,Pembangunan Jaya Ancol,"JL. LODAN TIMUR NO. 7, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Administrasi Keuangan, Administrasi Bisnis, Akuntansi Keuangan, Hukum, Teknik Industri"
Marketing & Digital,Pembangunan Jaya Ancol,"JL. LODAN TIMUR NO. 7, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Manajemen Pemasaran/Marketing, Pemasaran Digital, Industri Pariwisata"
FB Service Attendant,Metropolitan Realty International,"TAMAN IMPIAN JAYA ANCOL, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Hospitality dan Pariwisata, Perhotelan, Industri Pariwisata, Manajemen Perhotelan, Manajemen Perhotelan dan Pariwisata"
Accounting Intern,Bank Mandiri (Persero) Tbk,"Jl. Gatot Subroto Kav. 36 - 38, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Akuntansi
SALES ASSOCIATES,Matahari Department Store,"Plaza Atrium, Jl. Senen Raya No.135 Blok A, RW.2, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi, Manajemen, Akuntansi, Ilmu Komunikasi, Hubungan Masyarakat"
Asisten Pengelola Pertanian,Direktorat Penyediaan Lahan,"Jl. Harsono RM No 3, Gedung E, Ragunan, Pasar Minggu, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Pertanian, Teknik Lingkungan, Teknik Pengairan, Teknik Geodesi, Manajemen Sumberdaya Lahan"
Graphic Design Internship,PT Summarecon Agung Tbk,"Jl.Perintis Kemerdekaan No. 42. Pulo Gadung, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Produksi Film dan Televisi, Desain Komunikasi Visual, Desain Media, Desain Komunikasi Visual -"
Dokumen Kontrol,Yofc International Indonesia,"APL Tower Lt. 19 / T3, Jl. Jend. S. Parman Kav. 28, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Administrasi, Teknik Telekomunikasi, Administrasi BIsnis, Ekonomi, Hukum"
Yummy Corp (Operational Talent Internship Program),Bina Tumbuh Bhineka,"RUKO BEACH BOULEVARD BLOK F NO. 16, GOLF ISLAND, JL. PANTAI INDAH KAPUK, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Tata Boga, Perhotelan, Hospitality dan Pariwisata, Pendidikan Tata Boga"
Administrasi,Global Indo Kreatif,"JL. MANGGA NO. 3B, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Bimbingan Dan Konseling Pendidikan Islam, Ilmu Pendidikan Agama Islam, Manajemen Pendidikan Islam, Akuntansi Syari'ah"
Digital/Social Media Specialist,Radio Elshinta,"JL. RAYA JOGLO NO. 70, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Komunikasi Digital dan Media, Jaringan Telekomunikasi Digital, Ilmu Komunikasi, Desain Komunikasi Visual, Manajemen Informasi Komunikasi"
NOC Engineer (Jakarta),PT Nexwave,"Jl. Tebet Raya NO.5, Tebet Barat, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Telekomunikasi, Teknik Informatika, Teknik Elektro"
Internship Assistant,Regional Office Jakarta 1,"Jalan Veteran 2 Nomor 8 Kelurahan Gambir Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi, Hukum, Ilmu Ekonomi, Ilmu Komputer, Perbankan Dan Keuangan"
Graphic Design Internship,PT Summarecon Agung Tbk,"Jl.Perintis Kemerdekaan No. 42. Pulo Gadung, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Produksi Film dan Televisi, Desain Komunikasi Visual, Desain Media, Desain Komunikasi Visual -"
Tentor Pembelajaran,Sahabat Aku Nusantara,"Jalan Nurul Hidayah Kelapa Dua Wetan, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Pendidikan Guru Madrasah Ibtidaiyah (PGMI), Pendidikan  Bahasa Inggris, Manajemen Pendidikan Islam, Pendidikan Bahasa Indonesia, Pendidikan Guru Sekolah Dasar"
Civil Engineer,Sinohydro Corporation Limited,"GEDUNG MENARA PRIMA LANTAI 17
JL. DR. IDE ANAK AGUNG GDE AGUNG
BLOK 6.2 JAKARTA SELATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Sipil, Teknik Konstruksi Sipil, Teknologi Rekayasa Pelaksanaan Bangunan Sipil, Teknik Sipil dan Lingkungan, Konstruksi Sipil"
Perawat,Rumah Sakit Umum Pusat Fatmawati Jakarta,"Jalan RS Fatmawati Raya No. 4, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Keperawatan
Data Analyst Internship,Federal International Finance,"Menara FIF Lantai 3-9, Jalan TB. Simatupang Kav. 15, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Statistika, Statistika dan Sains Data, Matematika, Sistem Informasi, Teknik Informatika"
Quantitative Research Intern,PT Kantar Indonesia International,"RDTX Place Building Lt. 33, Jl. Prof DR. Satrio No. 17 Kav 3, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ekonomi, Bisnis, Matematika, Statistika, Pemasaran Digital"
JKTNP. Alliance & Airline Partnership Intern,PT. Garuda Indonesia (Persero) Tbk,"Jl. Kebon Sirih No. 46 A Kel. Gambir, Kec. Gambir Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Teknik Industri, Ilmu Hubungan Internasional, Ilmu Hubungan Masyarakat, Ilmu Komunikasi"
Dokumen Kontrol,Yofc International Indonesia,"APL Tower Lt. 19 / T3, Jl. Jend. S. Parman Kav. 28, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Administrasi, Teknik Telekomunikasi, Administrasi BIsnis, Ekonomi, Hukum"
Dokumen Kontrol,Yofc International Indonesia,"APL Tower Lt. 19 / T3, Jl. Jend. S. Parman Kav. 28, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Administrasi, Ekonomi, Hukum, Teknik Industri"
FB Service Attendant,Metropolitan Realty International,"TAMAN IMPIAN JAYA ANCOL, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Hospitality dan Pariwisata, Perhotelan, Industri Pariwisata, Manajemen Perhotelan, Manajemen Perhotelan dan Pariwisata"
Translator Mandarin / Jubir Mandarin,Mutiara Indah Anugrah,"MEGA GLODOK KEMAYORAN BLOK C NOMOR 6, JALAN ANGKASA KAVELING B 6, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Pendidikan Bahasa Mandarin, Bahasa Mandarin, Bahasa Mandarin Untuk Komunikasi Bisnis Dan Profesional, Bahasa Mandarin untuk Komunikasi Bisnis dan Profesional"
Housekeeping (Room Attendant),Wisma Nusantara International (Pullman Jakarta Indonesia),"Jl. M.H. Thamrin No.59 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Bisnis Perhotelan, Manajemen Perhotelan, Manajemen Perhotelan dan Pariwisata, Pengelolaan Perhotelan, Perhotelan"
Administrasi,PT Persona Prima Utama,"JL. DR. SAHARJO NO. 60 E-G, RT/RW. 005/008, PASAR MANGGIS, SETIABUDI, JAKARTA SELATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Manajemen Pemasaran/Marketing, Psikologi, Akuntansi, Teknologi Informasi"
Direktorat Irigasi Pertanian,Direktorat Irigasi Pertanian,"Jl. Taman Margasatwa No. 3 Ragunan, Pasar Minggu, Jakarta 12550, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Pertanian, Teknik Lingkungan, Teknik Pengairan, Teknik Geodesi, Pengelolaan Sumber Daya Lahan"
Teknisi Lift & Escalator,Jaya Kencana,"Jl. Salemba Raya No: 61, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Elektro, Pendidikan Vokasional Teknik Elektro, Pendidikan Vokasional Teknik Elektronika"
Sekretaris,Badan Pengawas Tenaga Nuklir Nasional,"Jalan Gajah Mada No 8 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Kearsipan, Sekretari, Kesekretariatan"
NOC Engineer (Jakarta),PT Nexwave,"Jl. Tebet Raya NO.5, Tebet Barat, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Telekomunikasi, Teknik Informatika, Teknik Elektro"
SALES ASSOCIATES,Matahari Department Store,"Plaza Atrium, Jl. Senen Raya No.135 Blok A, RW.2, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi, Manajemen, Akuntansi, Ilmu Komunikasi, Hubungan Masyarakat"
Supervisor,Global Indo Kreatif,"JL. MANGGA NO. 3B, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Pendidikan matematika, Perbankan Syari'ah, Keamanan Sistem Informasi, Tadris IPS, Tadris Biologi"
Pelaksana ATLM,Kimia Farma Diagnostika,"JL. TALANG BETUTU NO.5, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Analis Kesehatan
Civil Engineer,Sinohydro Corporation Limited,"GEDUNG MENARA PRIMA LANTAI 17
JL. DR. IDE ANAK AGUNG GDE AGUNG
BLOK 6.2 JAKARTA SELATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Sipil, Teknik Konstruksi Sipil, Teknologi Rekayasa Pelaksanaan Bangunan Sipil, Teknik Sipil dan Lingkungan, Konstruksi Sipil"
Dokumen Kontrol,Yofc International Indonesia,"APL Tower Lt. 19 / T3, Jl. Jend. S. Parman Kav. 28, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Administrasi, Ekonomi, Hukum, Teknik Industri"
Content Creator,Kreasi Karya Bangsa,"Gedung Achilles, Lantai 3, Jalan Panjang nomor 29, Desa/Kelurahan Kedoya Selatan, Kec. Kebon
 Jeruk, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta, Kode Pos: 11520, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Pendidikan Bahasa Dan Sastra Indonesia, Pendidikan Bahasa Dan Sastra Inggris"
Dokumen Kontrol,Yofc International Indonesia,"APL Tower Lt. 19 / T3, Jl. Jend. S. Parman Kav. 28, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Administrasi, Teknik Telekomunikasi, Administrasi BIsnis, Ekonomi, Hukum"
Photographer,Kreasi Karya Bangsa,"Gedung Achilles, Lantai 3, Jalan Panjang nomor 29, Desa/Kelurahan Kedoya Selatan, Kec. Kebon
 Jeruk, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta, Kode Pos: 11520, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Fotografi, Desain Komunikasi Visual, Ilmu Komunikasi"
